24

10 30
8 5
2 1 h
7 6 h
2 4 h
2 9 h
4 6 h
7 2 h
2 0 h
8 1 h
4 5 h
9 5 h
7 4 h
1 5 h
0 1 h
0 3 h
7 3 h
4 1 h
8 2 h
3 4 h
3 5 h
2 6 h
1 9 h
0 6 h
6 9 h
8 7 h
6 5 h
2 3 h
2 5 h
4 9 h
3 1 h
1 6 h

50 200
6 40
49 32 y
38 22 y
17 15 y
0 36 y
25 44 y
4 49 y
30 49 y
13 22 y
16 34 y
11 49 y
47 28 y
21 2 y
37 9 y
29 24 y
2 39 y
47 0 y
6 8 y
10 23 y
13 21 y
13 2 y
0 9 y
23 9 y
11 32 y
41 27 y
1 14 y
33 17 y
35 20 y
25 1 y
25 24 y
13 19 y
10 9 y
31 32 y
31 7 y
10 40 y
9 40 y
15 28 y
5 36 y
18 23 y
7 43 y
28 37 y
4 31 y
22 33 y
26 13 y
34 18 y
14 45 y
24 45 y
8 48 y
36 9 y
48 49 y
38 13 y
2 33 y
49 41 y
37 5 y
21 33 y
4 11 y
44 14 y
36 10 y
16 12 y
6 4 y
27 29 y
16 5 y
34 5 y
19 22 y
45 33 y
29 13 y
3 49 y
42 44 y
5 18 y
44 24 y
42 14 y
24 14 y
28 5 y
42 29 y
17 34 y
32 35 y
18 10 y
45 38 y
32 41 y
24 38 y
45 21 y
6 11 y
30 31 y
4 30 y
37 36 y
2 16 y
5 0 y
3 7 y
18 40 y
13 33 y
30 35 y
8 49 y
45 22 y
39 15 y
43 27 y
31 46 y
32 43 y
15 47 y
46 42 y
20 25 y
29 14 y
46 20 y
6 7 y
48 30 y
11 30 y
37 0 y
48 4 y
17 16 y
46 27 y
21 16 y
20 42 y
27 42 y
33 16 y
29 26 y
26 22 y
39 12 y
34 47 y
28 0 y
6 49 y
8 4 y
22 15 y
20 27 y
0 10 y
39 34 y
8 3 y
48 3 y
14 26 y
34 15 y
1 26 y
42 25 y
16 39 y
26 45 y
5 10 y
33 47 y
49 31 y
0 40 y
41 20 y
47 37 y
43 46 y
27 1 y
6 3 y
48 11 y
17 12 y
7 35 y
15 37 y
42 1 y
27 25 y
36 18 y
0 23 y
44 29 y
19 2 y
39 47 y
8 11 y
48 7 y
3 11 y
22 2 y
45 13 y
6 48 y
21 17 y
37 18 y
22 16 y
33 39 y
41 25 y
11 43 y
38 19 y
28 9 y
11 7 y
23 40 y
11 31 y
22 39 y
41 43 y
47 36 y
24 22 y
24 26 y
33 34 y
49 7 y
48 31 y
46 1 y
26 38 y
25 14 y
12 34 y
22 21 y
26 21 y
32 20 y
43 20 y
3 30 y
48 32 y
20 44 y
1 29 y
17 39 y
4 3 y
41 46 y
1 24 y
31 35 y
2 17 y
39 37 y
19 21 y
7 41 y
44 26 y
47 5 y
35 41 y

100 300
93 56
44 49 e
10 83 e
82 40 e
71 27 e
58 66 e
37 83 e
48 22 e
27 8 e
51 4 e
42 64 e
30 25 e
72 74 e
89 28 e
79 91 e
24 85 e
47 6 e
1 72 e
83 12 e
89 62 e
77 96 e
29 13 e
25 43 e
97 0 e
31 28 e
48 99 e
86 29 e
98 6 e
37 58 e
37 68 e
54 14 e
36 52 e
8 26 e
10 37 e
98 35 e
24 59 e
45 87 e
81 15 e
40 27 e
93 41 e
50 77 e
62 57 e
40 33 e
7 24 e
28 57 e
34 89 e
94 20 e
48 63 e
8 54 e
84 79 e
9 14 e
47 32 e
42 92 e
22 1 e
41 50 e
47 29 e
71 54 e
92 64 e
78 23 e
77 98 e
95 71 e
23 3 e
30 46 e
46 61 e
83 15 e
38 57 e
55 64 e
57 2 e
0 77 e
28 18 e
17 63 e
42 65 e
4 42 e
2 7 e
18 2 e
32 98 e
13 62 e
16 91 e
0 50 e
79 80 e
74 94 e
12 58 e
44 83 e
58 21 e
86 35 e
96 34 e
99 72 e
23 46 e
37 12 e
71 8 e
58 22 e
1 74 e
20 30 e
12 68 e
28 62 e
34 29 e
91 4 e
12 66 e
96 86 e
97 41 e
73 50 e
87 56 e
41 73 e
18 75 e
51 42 e
44 69 e
31 13 e
61 52 e
84 43 e
44 88 e
36 80 e
17 22 e
15 58 e
16 90 e
68 21 e
85 40 e
77 6 e
98 96 e
27 9 e
72 76 e
95 33 e
97 50 e
87 55 e
29 62 e
2 24 e
42 55 e
64 56 e
83 58 e
92 65 e
80 90 e
21 66 e
73 77 e
79 36 e
27 26 e
36 45 e
62 38 e
27 14 e
85 59 e
49 10 e
6 34 e
82 95 e
67 49 e
11 51 e
83 68 e
14 88 e
91 90 e
34 31 e
57 75 e
19 33 e
49 37 e
37 15 e
2 39 e
68 15 e
27 54 e
88 49 e
46 84 e
13 28 e
57 39 e
24 33 e
47 98 e
13 89 e
15 70 e
21 70 e
76 94 e
72 94 e
9 54 e
47 96 e
66 48 e
14 44 e
71 9 e
29 31 e
69 49 e
79 16 e
83 70 e
32 86 e
81 37 e
99 74 e
52 16 e
40 9 e
23 60 e
39 7 e
7 19 e
11 42 e
20 5 e
93 73 e
48 53 e
48 17 e
36 91 e
75 19 e
77 47 e
33 71 e
59 82 e
8 44 e
5 25 e
17 99 e
35 28 e
61 36 e
78 94 e
49 12 e
50 32 e
33 27 e
14 67 e
17 53 e
30 84 e
9 8 e
72 78 e
4 64 e
48 1 e
50 6 e
57 18 e
90 51 e
88 37 e
61 43 e
87 65 e
91 45 e
22 63 e
39 85 e
30 79 e
8 14 e
53 63 e
